jobName,jobCategory,education,city,releaseDate,jobCity,experience,salary,jobDesc,url,sourceCn,jobId,jobUrl,sourceName,salary_mid,exp_min,exp_max
ui设计师(苏州叠纸网络科技股份有限公司),技术开发,本科,上海,2022-03-21,上海,1年以下,10000-15000,职位描述：1、热爱游戏，游戏体验丰富，对各平台游戏的UI设计有深入的研究和分析2、有较好的艺术审美，对各平台游戏从商业与艺术角度有自己的独特理解3、本科及以上学历，设计类相关专业，有扎实的美术基础和平面设计基础4、具有较强的创新和设计能力，跟进设计效果最终在产品的实现，对用户体验及交互设计有深刻的理解﻿需提供作品,https://zhaopin.baidu.com/szzw?id=http://kg.baidu.com/od/4002/2011615/1da0d929558325f121f908db61022329,百度招聘,f34a7bb110f06cc28aadbbaa4e22f22f,https://zhaopin.baidu.com/szzw?id=http://kg.baidu.com/od/4002/2011615/1da0d929558325f121f908db61022329,百度招聘,12500.0,1.0,1.0
模型师(苏州叠纸网络科技股份有限公司),其他,本科,上海,2022-03-20,上海,1年以下,10000-15000,职位描述：1．热爱游戏或影视相关，对此类研发有浓厚兴趣；2．本科及以上学历，艺术、雕塑类相关专业或有相关实习/培训经历优先；3．美术功底扎实，色彩感知敏锐，对角色形体，比例，虚实节奏把控能力强；4．熟练使用zbrush、Mar *** ，3DMAX或MAYA等3D模型制作软件以及相关插件；5．熟悉次时代模型的制作流程，具备优秀的审美和表达能力，丰富的想像力和综合协调能力；6．重视细节，敢于自我挑战，对制作优秀作品有不懈的追求；7．具有时间意识，保证工作质量和效率，确保项目开发的时间节点；8．具有团队合作精神，责任心强，良好的沟通能力，善于学习和总结，乐于分享，能承受一定的工作压力。作品要求（随简历作为附件上传）：-设计、绘制作品。静帧作品请提交常见的图片格式(JPG/TIFF/PNG/BMP)，图片压缩率不要太大，以免影响画面质量，请不要提交带图层文件体积过大的PSD工程文件。-3D作品请提供效果截图或视频，请不要提交原始工程文件。-动画、序列帧作品请提交常见的视频格式（MP4/AVI/WMV/MOV），视频文件在保证画面质量的前提下可以适当的压缩输出，以免提交文件过大造成传输不便。,https://zhaopin.baidu.com/szzw?id=http://kg.baidu.com/od/4002/2011615/e11d55053532c2b8f6dc0f1854371f0e,百度招聘,34629ae1945a578d4287ae1ce9f72205,https://zhaopin.baidu.com/szzw?id=http://kg.baidu.com/od/4002/2011615/e11d55053532c2b8f6dc0f1854371f0e,百度招聘,12500.0,1.0,1.0
3D场景地编设计师(苏州叠纸网络科技股份有限公司),技术开发,本科,上海,2022-03-20,上海,1年以下,10000-15000,职位描述：1．热爱游戏或影视相关，对此类研发有浓厚兴趣；2．本科及以上学历，艺术、雕塑类相关专业或有相关实习/培训经历优先；3．美术功底扎实，色彩感知敏锐，对角色形体，比例，虚实节奏把控能力强；4．熟练使用zbrush、Mar *** ，3DMAX或MAYA等3D模型制作软件以及相关插件；5．熟悉次时代模型的制作流程，具备优秀的审美和表达能力，丰富的想像力和综合协调能力；6．重视细节，敢于自我挑战，对制作优秀作品有不懈的追求；7．具有时间意识，保证工作质量和效率，确保项目开发的时间节点；8．具有团队合作精神，责任心强，良好的沟通能力，善于学习和总结，乐于分享，能承受一定的工作压力。作品要求（随简历作为附件上传）：-设计、绘制作品。静帧作品请提交常见的图片格式(JPG/TIFF/PNG/BMP)，图片压缩率不要太大，以免影响画面质量，请不要提交带图层文件体积过大的PSD工程文件。-3D作品请提供效果截图或视频，请不要提交原始工程文件。-动画、序列帧作品请提交常见的视频格式（MP4/AVI/WMV/MOV），视频文件在保证画面质量的前提下可以适当的压缩输出，以免提交文件过大造成传输不便。,https://zhaopin.baidu.com/szzw?id=http://kg.baidu.com/od/4002/2011615/2ec077e34266a00e75a4837446e40f2f,百度招聘,f340c9921f466324a79ddf4ebf10f88b,https://zhaopin.baidu.com/szzw?id=http://kg.baidu.com/od/4002/2011615/2ec077e34266a00e75a4837446e40f2f,百度招聘,12500.0,1.0,1.0
采购专员(苏州叠纸网络科技股份有限公司),供应链管理员,本科,上海,2022-03-20,上海,1年以下,10000-15000,职位描述：1、本科及以上学历，计算机相关专业优先。2、沟通协作能力较强。为人踏实，诚实。,https://zhaopin.baidu.com/szzw?id=http://kg.baidu.com/od/4002/2011615/17c59a3744e256c43214900f45c2246f,百度招聘,ee44f12368d25c93cb07cd7b7a0020e2,https://zhaopin.baidu.com/szzw?id=http://kg.baidu.com/od/4002/2011615/17c59a3744e256c43214900f45c2246f,百度招聘,12500.0,1.0,1.0
战斗策划(叠纸游戏),其他,本科,上海,2022-03-19,上海,3年以上,20000-25000,职位描述：1、配合关卡策划，将玩家战斗部分的内容在引擎中设计并实现； 2、规划操作角色和敌人的战斗招式和成长系统，设计并训练敌人战斗AI，测试不同环境和难度下的战斗体验； 3、充分发挥场景元素和剧情人设，提供合适而独特的战斗设计创意并予以实现。 职位要求 1、有丰富的各平台单机游戏体验经历，尤其在动作冒险和角色扮演向作品方面有深刻体验，总体验时长不低于300小时，体验作品数量不少于10部； 2、能够在角色的行为习惯，战斗风格，战斗体验营造方面有自己的经验和见解； 3、有3A期项目战斗设计经验者优先；,https://zhaopin.baidu.com/szzw?id=http://kg.baidu.com/od/4002/2004461/ad660cc3dced13575d99c50a56eac768,百度招聘,f898470ea2a70060f985760835ab74fd,https://zhaopin.baidu.com/szzw?id=http://kg.baidu.com/od/4002/2004461/ad660cc3dced13575d99c50a56eac768,百度招聘,22500.0,3.0,3.0
数值策划(叠纸游戏),其他,本科,上海,2022-03-17,上海,3年以上,20000-25000,职位描述：岗位职责： 1，负责新作的游戏内数值框架的设计和搭建。 2.，负责游戏内各个系统的相关具体数值创建、填写、测试、调 整、配置工作。 3.，和其他策划一起协作，负责各相关系统的数值协调工作。 职位要求： 1，两年以上数值策划经验，至少一款从立项到运营的完整项目 经验。 2，熟悉商业游戏RPG数值体系，对市面上的主要产品数值结构有 完整清晰的了解。 3，具备一定数据分析能力，能通过数据准确调整游戏内数值体 系。 4，对装备驱动型游戏非常热爱和深度了解。 5，抗压能力强，有创作热情,https://zhaopin.baidu.com/szzw?id=http://kg.baidu.com/od/4002/2004461/8770bd8dfbecadf0d90d3da187ac756f,百度招聘,b483326ba23013771c87e1192b3d59d6,https://zhaopin.baidu.com/szzw?id=http://kg.baidu.com/od/4002/2004461/8770bd8dfbecadf0d90d3da187ac756f,百度招聘,22500.0,3.0,3.0
WEB高级研发工程师(叠纸游戏),技术开发,本科,上海,2022-03-17,上海,3年以上,12000-20000,职位描述：岗位职责： 1、负责网站CMS开发，完成数据交互、动态信息展现； 2、负责运营活动模块化开发，完成前端效果、表单提交等模块； 3、使用JS编写封装良好的前端交互组件，可以跨端运行； 任职要求： 1、本科及以上学历，2年（含）以上相关工作经验； 2、热爱前端技术，个性乐观开朗，逻辑性强，善于和各种背景的人沟通合作； 3、精通Web前端技术，包括手机端的(X)HTMLCSSJa *** 等，能够解决浏览器兼容性问题； 4、了解weex、flutter等跨端的语言者优先； 5、有其他语言的开发经验，比如phpgo优先考虑。,https://zhaopin.baidu.com/szzw?id=http://kg.baidu.com/od/4002/2004461/d9c8237911b5b413caf57973f3694a49,百度招聘,04d24de9abfd8193dc8056ec43560c7d,https://zhaopin.baidu.com/szzw?id=http://kg.baidu.com/od/4002/2004461/d9c8237911b5b413caf57973f3694a49,百度招聘,16000.0,3.0,3.0
游戏运维工程师(叠纸游戏),技术开发,本科,上海,2022-03-17,上海,3年以上,20000-25000,职位描述：工作职责 负责自研手游的技术运营运维工作保障服务处于高可用的水平，包括日常的部署、升级、扩容、缩容、告警处理、故障解决、容灾演练等； 负责运维相关提升开发运营效率的支撑工具的开发 负责跟进移动游戏业务从接入到上线全过程的技术运营解决方案； 解决业务上线过程及长期运营中，遇到的技术问题，发现运营风险及技术难点，优化业务流程，优化游戏架构，提升运维工作效率和服务质量； 与项目组建立良好的合作沟通与信任关系，对业务存在的风险问题进行定期反馈和改善跟进，保障业务稳定运行； 负责手游用户体验的数据处理和运营工具开发工作。 工作要求 3年以上工作经验，熟悉Linux操作系统运维，具有快速定位问题和问题解决能力； 计算机或相关专业本科或以上学历； 精通Python语言开发； 熟练掌握Linux操作系统的管理 具备RHCE者优先； 具有主流公有云维护经验 熟练掌握Zabbix Prometheus Grafana等监控工具； 熟练掌握CI CD中需要用到的开源工具如Jenkins Jira Ansible Saltstack Supervisor等工具的运用 熟练掌握Nodejs、Nginx、Tomcat等； 精通掌握Shell，熟悉数据库架构及SQL； 有大型互联网公司自动化运维经验者优先。,https://zhaopin.baidu.com/szzw?id=http://kg.baidu.com/od/4002/2004461/4a8223eb571d815933e34afa2325166,百度招聘,bf1746d4186d9b6f812cae105959e6fe,https://zhaopin.baidu.com/szzw?id=http://kg.baidu.com/od/4002/2004461/4a8223eb571d815933e34afa2325166,百度招聘,22500.0,3.0,3.0
平台运维工程师(叠纸游戏),技术开发,本科,上海,2022-03-16,上海,3年以上,12000-20000,职位描述：岗位职责： 1、负责应用及生产系统日常问题的诊断、分析定位、解决及回顾； 2、负责应用及生产系统运行管理及日常维护，包括但不限于部署、发布、监控、调优、排错等工作；支持和保障各类生产系统的安全、稳定运行； 3、负责公司应用及生产系统突发事件的应急处理及跟踪解决； 4、负责应用系统的性能分析，提出相关优化建议； 5、负责运维自动化的研究和实现，包括自动化发布系统、包管理系统、监控平台等运维平台；支撑业务的快速迭代与交付，提高运维效率和质量； 6、跟踪、研究新技术、新产品的发展方向，推动新技术、新产品在团队中得到应用，提升团队技术水平。 任职需求： 1、大学本科及以上学历，计算机相关专业，有5年以上相关工作经验者; 2、熟练掌握Linux操作系统的管理； 3、熟悉Python语言，能够使用Djangobootstrap开发框架进行开发者优先； 4、熟练掌握Nodejs、MySQL、Nginx、Tomcat等； 5、熟练掌握Zabbix or Nagios、Cacti等监控工具； 6、熟悉Hadoop体系结构、分布式计算、流式计算、分布式存储 7、具有主流公有云维护经验，懂得公有云架构设计； 8、有丰富的系统故障排查和解决经验，突出的分析和解决问题的能力； 9、熟悉常用的运维工具，对运维工作发展方向有一定的思考; 10、有运维自动化、监控系统、发布系统、运维系统开发经验者优先； 11、有大型互联网公司自动化运维经验，了解存储、负载均衡设备配置者优先；,https://zhaopin.baidu.com/szzw?id=http://kg.baidu.com/od/4002/2004461/edc3ffde2e1bc1338101a01bcfa13304,百度招聘,cab1224be84746bc46fdef553fce1fcd,https://zhaopin.baidu.com/szzw?id=http://kg.baidu.com/od/4002/2004461/edc3ffde2e1bc1338101a01bcfa13304,百度招聘,16000.0,3.0,3.0
日语本地化运营(叠纸游戏),运营,本科,上海,2022-03-15,上海,3年以上,12000-20000,职位描述：招聘要求： 1.日语水平n1及以上，能够和当地日方对接人员进行有效沟通，有中译日经验者和留日背景优先。 2.具备优秀的日语阅读能力，对于故事性的文章有一定的理解分析能力。 3.有较强的抗压能力和统筹能力，能够同时管理各类模块本地化翻译的工作内容，保证效率和质量 4.对日本地区的游戏和用户习惯有一定的熟悉度，能够掌握本地市场的玩家偏好。 5.熟悉并了解日本文化，能够对于相关文案的调优做出合理判断和有效建议。 工作内容： 1.负责项目整体的全部本地化需求，包括但不限于文本翻译、润色校对、美术素材包装、游戏配音等内容 2.配合游戏整体的发行需求，制定本地化方案，妥善管理各模块的完成进度，在周期内完成本地化工作，确保项目上线的质量。 3.根据发行和研发计划，针对日本用户的习惯在必要时对产品本地化内容进行调优 4.帮助项目完善各类本地化素材，包括但不限于广告投放，市场宣传等,https://zhaopin.baidu.com/szzw?id=http://kg.baidu.com/od/4002/2004461/25b55d4e90ce5b6f6d15833383825ad,百度招聘,9083cd6aac946472b25f191a765dfa71,https://zhaopin.baidu.com/szzw?id=http://kg.baidu.com/od/4002/2004461/25b55d4e90ce5b6f6d15833383825ad,百度招聘,16000.0,3.0,3.0
